Order,variable,domain,type,stat_label,question,PRG,DSA,LIB,SD,STY,CTR,REF,CON,NAT,SD/LIB,SD/STY,STY/SD,LIB/CTR,SD/CTR,SD/CON,CON/SD,STY/CON,CON/STY,STY/REF,CON/CTR,REF/STY,CON/REF,CON/NAT,Max,Mid,Low
21,CC24_340f,Immigration,binary,% Supporting,Deny asylum for illegal border crossings,0.1145,0.0336,29.4301,39.458,39.6282,82.0974,87.0888,99.8093,100,34.444,39.5144,39.5431,50.497,60.7777,68.3783,72.9228,64.164,74.5332,60.9855,93.1337,69.5806,95.8659,99.9027,,,
22,CC24_321a,Police & Guns,binary,% Supporting,Ban assault rifles,96.5447,93.1937,91.4934,80.9072,63.1428,58.5513,27.0589,40.7492,6.4067,86.2003,75.0165,72.025,78.3166,69.7293,61.6635,58.6396,54.0129,50.1545,46.905,47.4588,40.3703,36.5052,23.9214,,,
23,CC24_321b,Police & Guns,binary,% Supporting,Easier concealed-carry permits,1.1018,1.9058,7.2956,20.1692,36.5762,44.222,67.8831,54.9176,91.7736,13.7324,25.6098,28.3727,22.0662,32.1956,36.8206,39.4372,44.054,47.2142,50.6643,50.8864,56.334,58.9369,72.977,,,
24,CC24_321c,Police & Guns,binary,% Supporting,Require background checks on all gun sales,99.647,99.6987,99.5799,98.4429,88.7939,94.8726,80.3952,93.8034,75.8481,99.0114,95.2433,93.6184,97.697,96.6577,96.2197,95.8703,90.8363,91.6994,85.0145,94.2064,83.4935,89.6469,85.0053,,,
25,CC24_321d,Police & Guns,binary,% Supporting,Increase police by 10%,0.3959,0.2707,35.5848,31.436,34.9589,65.1423,44.166,99.714,100,33.5104,32.6042,33.1975,47.4078,48.2892,64.1548,69.2962,61.3596,72.5169,39.1021,86.6839,40.7695,82.4941,99.8541,,,
26,CC24_321e,Police & Guns,binary,% Supporting,"Decrease police by 10%, increase other funding",75.5713,87.2103,35.6377,39.5124,39.1405,16.6141,19.5421,1.8792,0.1097,37.5751,39.3891,39.3265,28.0283,28.0633,21.4786,18.6448,23.9491,17.5289,30.3212,7.4328,26.7719,7.3547,1.0121,,,
27,CC24_321f,Police & Guns,binary,% Supporting,Increase spending on mental health & school safety,99.6192,99.0147,98.4488,95.922,85.8456,90.4463,66.5524,86.5553,54.075,97.1854,92.5807,90.8838,95.2478,93.1841,91.4335,90.7282,86.1349,86.2572,77.1637,88.0218,73.6697,80.3544,70.64,,,
28,CC24_325,Abortion,continuous,Median,Abortion: how many weeks should it be legal,32,28,24,18,13,12,8,10,7,21,16.342,15.5,19.2,15,14.1664,13.564,11.7769,11.26,10.75,10.7538,9.8445,9.38,8.53,,,
29,CC24_325,Abortion,continuous,Q25,Abortion: how many weeks should it be legal,24,20,16,10,6,4,1,4,0,13,8.6736,8,11.2,7,7.1248,6.673,5.1846,4.84,3.75,4,2.8445,3.07,2.04,,,
30,CC24_325,Abortion,continuous,Q75,Abortion: how many weeks should it be legal,40,40,36,26,23,19,14,15,12,31,25.0052,24.5,29.2,22.5,20.7288,19.9005,19.7384,18.36,18.95,16.5076,17.3201,14.69,13.53,,,
31,CC24_324b,Abortion,binary,% Supporting,Permit abortion only in rape/incest/life danger cases,6.143,14.1527,25.7348,36.9495,56.8046,65.4458,60.3942,72.6163,72.2413,31.3422,43.5335,46.877,41.6192,51.1977,54.041,56.7267,63.251,65.9754,58.4199,69.9137,59.07,68.8274,72.4325,,,
32,CC24_340b,Abortion,binary,% Supporting,Prohibit restrictions on abortion access (Congress bill),95.6766,94.0501,88.8153,82.7413,53.177,53.8649,43.5041,48.7144,31.5194,85.7783,72.9378,67.9591,74.8351,68.3031,66.4356,63.8734,51.3576,50.5887,48.8242,50.6556,47.0724,47.0992,40.2888,,,
33,CC24_444c,Abortion,binary,% Supporting,Prohibit abortion-inducing drugs by mail,1.466,3.7817,11.1838,22.9448,39.0023,54.5528,58.7169,63.5861,74.6758,17.0643,28.2695,30.9735,28.5314,38.7488,42.4201,45.4804,49.0251,53.2609,47.8739,60.1814,51.4442,62.0766,69.0201,,,
34,CC24_444d,Abortion,binary,% Supporting,Prohibit women traveling to another state for abortion,0.1411,0.469,3.6846,8.8986,25.6106,28.0167,26.8387,27.1627,27.2533,6.2916,14.4403,17.2546,13.4174,18.4577,17.6508,19.026,26.2434,26.5108,26.1632,27.4846,26.3857,27.0623,27.2071,,,
35,CC24_340c,Civil Liberties,binary,% Supporting,Federal recognition of same-sex & interracial marriages,99.9117,98.4739,97.2584,95.9375,54.3011,55.8161,43.4016,47.846,26.541,96.5979,82.1309,75.1193,80.6815,75.8768,72.8921,69.2708,51.6694,50.5571,49.3963,50.8499,47.4224,46.4682,37.4065,,,
36,CC24_340d,Civil Liberties,binary,% Supporting,Ban TikTok unless China sells to a US company,32.151,20.813,52.3658,44.4839,40.7118,62.4261,54.7864,73.6451,76.8622,48.4248,43.2331,42.5978,56.3899,53.455,58.4579,60.6538,54.1387,59.8131,47.0454,69.4167,49.5943,67.7989,75.2215,,,
37,CC24_340e,Civil Liberties,binary,% Supporting,Renew post-9/11 surveillance programs,3.7548,18.3327,43.0105,36.4273,30.2967,45.6591,21.3699,45.1447,9.4977,39.7189,34.3944,33.362,44.0699,41.0432,40.6047,41.2611,36.3502,38.9085,26.2796,45.3386,24.663,37.7745,27.6777,,,
38,CC24_444a,Civil Liberties,binary,% Supporting,Prevent gender transition surgery for minors,15.5509,21.6662,32.5615,48.9304,60.1361,72.2826,78.3789,78.1244,88.9089,40.746,52.6462,54.5332,48.4499,60.6065,62.9202,65.1185,67.4699,70.5693,68.3454,75.9226,71.6491,78.2033,83.4088,,,
39,CC24_444b,Civil Liberties,binary,% Supporting,Parental consent for name/pronoun changes at school,7.6704,11.6714,34.6172,45.6794,63.6007,75.434,85.0514,85.3977,94.3123,40.1483,51.6221,54.6401,50.9439,60.5567,64.7124,67.7032,72.4873,76.243,73.2535,81.6424,77.1382,85.2903,89.7659,,,
40,CC24_444e,Civil Liberties,binary,% Supporting,Age verification for adult web content,53.2211,59.0949,72.9322,75.2629,77.5991,83.4249,78.8884,88.5785,87.0568,74.0975,76.0376,76.431,77.1293,79.3439,81.6437,82.6464,82.0754,83.9672,78.1793,86.6361,78.4128,85.5746,87.8329,,,
