state_fips,state_abbr,total_weighted_respondents,prob_cluster_0,prob_cluster_1,prob_cluster_2,prob_cluster_3,prob_cluster_4,prob_cluster_5,prob_cluster_6,prob_cluster_7,prob_cluster_8,prob_cluster_9,first_choice_RH,first_choice_MW,first_choice_MRJ,first_choice_BE,first_choice_CO,first_choice_DH,first_choice_LK,first_choice_ZN,first_choice_JR
1,AL,726.2080988810737,0.21400986939129282,0.10451760520763202,0.1866955363794408,0.10331023177648763,0.042596379348333366,0.11224229138151717,0.0954285047410057,0.05134306918117779,0.08093219321990816,0.008924319373204249,0.16571482521342243,0.14807781657671598,0.09599322311374944,0.14445065377209468,0.12850309872141485,0.09730371004146389,0.10483306161011073,0.06926942894764347,0.04585418200338447
2,AK,130.63833796477343,0.139841530748511,0.22178417812229934,0.14881396425512874,0.08782737055870161,0.08855899065198666,0.10221007980298957,0.1441191971151248,0.00971485166060195,0.03753411219940863,0.01959572488524763,0.1411693600324813,0.07172490696712285,0.13973620463083686,0.09372238117888211,0.10307435201159008,0.04058116710237782,0.10742702815377175,0.06531079646189789,0.23725380346103941
4,AZ,1160.105247484425,0.17235180868618027,0.11440321657872629,0.12102640534233211,0.14344007310766374,0.08093498175005079,0.1397502336323961,0.05218841793437102,0.038404560926773745,0.08463449432859818,0.05286580771290765,0.10507448807360213,0.11536524910633056,0.13930714266063343,0.141458486011937,0.09420396171523787,0.10195661113552132,0.12306216614539456,0.08606094461726174,0.09351095053408143
5,AR,412.1819587199606,0.20270060820755673,0.16396866397448295,0.11393624349538935,0.08410199487883842,0.05413695693888265,0.1351332158288167,0.09871017441202212,0.053657264099430814,0.06684442708702486,0.026810451077555184,0.14516328069375886,0.19691274167001346,0.062360920694665166,0.11515712115243774,0.08889429233744295,0.084106217912129,0.12772285656446575,0.10019708171566535,0.07948548725942167
6,CA,3966.1722756498943,0.12176687401019046,0.178026758698495,0.17574179815537525,0.08290218124656752,0.11757951358878774,0.09658607385088834,0.07714694539104257,0.05182695089301483,0.04173040152650292,0.056692502639135285,0.12144778861053213,0.13336216546314675,0.11583306587596491,0.08727206397426904,0.1293965347649882,0.11955860456423853,0.11086763955560885,0.09246233035165473,0.08979980683959697
8,CO,827.2852966943861,0.18910670262701276,0.1552328681613026,0.1047032810659465,0.07883453227166187,0.11206718727423697,0.13246302003280072,0.04851262107986626,0.04485300019982803,0.058066326287839254,0.07616046099950477,0.1206049571738541,0.1171204230079876,0.11139162827521983,0.06632958930717028,0.15246615083067458,0.14115116909842923,0.10166993630065237,0.06597718666918402,0.12328895933682794
9,CT,484.15451790141344,0.1737398086508952,0.14933139141690074,0.117519803509175,0.07056862349830512,0.1301957980613432,0.10655903095479449,0.08375131388033577,0.05506605066691686,0.0437822970412402,0.06948588232009333,0.10273129572672891,0.1665045038123925,0.12473441745357967,0.04497139638765675,0.12457399669828347,0.09271070080999368,0.13854929833438528,0.07835418165887992,0.1268702091180999
10,DE,216.9502428906061,0.19449754482719675,0.19752425057777825,0.10065841401322832,0.06235941695242482,0.08409332150759818,0.07068699318812852,0.10748870970336172,0.11644643197528778,0.03321602874883392,0.03302888850616142,0.08791411139473726,0.0822036386734146,0.11856482888225368,0.03885291368610588,0.05306135057216472,0.09663160761493794,0.26797878606791137,0.13499640636584054,0.119796356742634
11,DC,117.35734890789057,0.09214338380169536,0.21947002765074833,0.09107690237515563,0.001338107855129681,0.20656132599727825,0.06324484706118738,0.07939233343488544,0.0328215599638033,0.10860111170634042,0.10535040015377602,0.07082382044430258,0.1317732979235009,0.05425260092549385,0.05119657279418135,0.1703212357137015,0.09734577395410603,0.1563495847312429,0.1294789690214786,0.13845814449199229
12,FL,3184.133278566863,0.18732610034137273,0.1436049463413344,0.17684529122695855,0.06590703077971587,0.0638480100780988,0.09686274229535301,0.1275331219771146,0.05292674064562343,0.06477231792863565,0.02037369838579275,0.12130256407150537,0.13342893219884228,0.11228194505480057,0.07941556201631797,0.12429582633536125,0.12540707423771147,0.1329282676054959,0.09449069673343471,0.07644913174653042
