diagnostic,phase,candidate_code,candidate_name,raw_votes,vote_pct,status,pod,votes_from_pod,pod_total_votes,pct_of_pod,finalist_national_total,pct_of_finalist_total,eliminated_code,eliminated_name,winnowing_point,transfer_type,dest_code,dest_name,transferred_votes,pct_of_eliminated_total,candidate_a,candidate_b,votes_a_beats_b,votes_b_beats_a,winner,margin,margin_pct,lock_order,locked,rp_winner_overall
trajectories,After_Retail_Six,RH,CON,226.4376,10.8852,active,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Retail_Six,MW,SD,289.1309,13.899,active,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Retail_Six,MRJ,STY,271.6278,13.0576,active,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Retail_Six,BE,NAT,224.6304,10.7984,active,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Retail_Six,CO,LIB,218.2158,10.49,active,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Retail_Six,DH,REF,268.2023,12.8929,active,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Retail_Six,LK,CTR,368.6475,17.7215,active,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Retail_Six,ZN,DSA,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Retail_Six,JR,PRG,213.3361,10.2554,active,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_A,RH,CON,1939.6839,16.2917,active,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_A,MW,SD,1758.733,14.7719,active,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_A,MRJ,STY,1918.458,16.1134,active,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_A,BE,NAT,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_A,CO,LIB,1501.7673,12.6136,active,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_A,DH,REF,1614.566,13.561,active,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_A,LK,CTR,1876.2102,15.7586,active,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_A,ZN,DSA,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_A,JR,PRG,1296.5503,10.8899,active,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_C,RH,CON,3731.924,17.699,active,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_C,MW,SD,3527.1526,16.7279,active,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_C,MRJ,STY,3772.9875,17.8938,active,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_C,BE,NAT,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_C,CO,LIB,3263.6399,15.4781,active,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_C,DH,REF,3136.4355,14.8748,active,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_C,LK,CTR,3653.3594,17.3264,active,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_C,ZN,DSA,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_C,JR,PRG,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_BD,RH,CON,9616.0266,21.0734,active,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_BD,MW,SD,9135.2643,20.0198,active,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_BD,MRJ,STY,9508.0374,20.8367,active,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_BD,BE,NAT,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_BD,CO,LIB,8144.567,17.8487,active,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_BD,DH,REF,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_BD,LK,CTR,9227.2469,20.2214,active,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_BD,ZN,DSA,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,
trajectories,After_Pod_BD,JR,PRG,0.0,0.0,eliminated,,,,,,,,,,,,,,,,,,,,,,,,
geo_breakdown,,CO,,,,,Retail,330.0685,2080.2284,15.8669,8144.5669,4.05,,,,,,,,,,,,,,,,,,
geo_breakdown,,RH,,,,,Retail,388.9729,2080.2284,18.6986,9616.0265,4.05,,,,,,,,,,,,,,,,,,
geo_breakdown,,MW,,,,,Retail,406.7504,2080.2284,19.5532,9135.2644,4.45,,,,,,,,,,,,,,,,,,
geo_breakdown,,LK,,,,,Retail,534.5568,2080.2284,25.697,9227.247,5.79,,,,,,,,,,,,,,,,,,
geo_breakdown,,MRJ,,,,,Retail,419.8798,2080.2284,20.1843,9508.037400000001,4.42,,,,,,,,,,,,,,,,,,
geo_breakdown,,CO,,,,,A,1668.3644,9825.7402,16.9795,8144.5669,20.48,,,,,,,,,,,,,,,,,,
geo_breakdown,,RH,,,,,A,2155.7874,9825.7402,21.9402,9616.0265,22.42,,,,,,,,,,,,,,,,,,
geo_breakdown,,MW,,,,,A,1928.1721,9825.7402,19.6237,9135.2644,21.11,,,,,,,,,,,,,,,,,,
geo_breakdown,,LK,,,,,A,1944.3736,9825.7402,19.7886,9227.247,21.07,,,,,,,,,,,,,,,,,,
geo_breakdown,,MRJ,,,,,A,2129.0427,9825.7402,21.668,9508.037400000001,22.39,,,,,,,,,,,,,,,,,,
geo_breakdown,,CO,,,,,C,1712.8239,9179.5302,18.6592,8144.5669,21.03,,,,,,,,,,,,,,,,,,
geo_breakdown,,RH,,,,,C,1934.157,9179.5302,21.0703,9616.0265,20.11,,,,,,,,,,,,,,,,,,
geo_breakdown,,MW,,,,,C,1729.9062,9179.5302,18.8453,9135.2644,18.94,,,,,,,,,,,,,,,,,,
geo_breakdown,,LK,,,,,C,1862.2,9179.5302,20.2864,9227.247,20.18,,,,,,,,,,,,,,,,,,
geo_breakdown,,MRJ,,,,,C,1940.4431,9179.5302,21.1388,9508.037400000001,20.41,,,,,,,,,,,,,,,,,,
geo_breakdown,,CO,,,,,B,2138.1524,11781.4818,18.1484,8144.5669,26.25,,,,,,,,,,,,,,,,,,
geo_breakdown,,RH,,,,,B,2402.3789,11781.4818,20.3911,9616.0265,24.98,,,,,,,,,,,,,,,,,,
geo_breakdown,,MW,,,,,B,2474.6812,11781.4818,21.0048,9135.2644,27.09,,,,,,,,,,,,,,,,,,
geo_breakdown,,LK,,,,,B,2407.0816,11781.4818,20.4311,9227.247,26.09,,,,,,,,,,,,,,,,,,
geo_breakdown,,MRJ,,,,,B,2359.1877,11781.4818,20.0245,9508.037400000001,24.81,,,,,,,,,,,,,,,,,,
geo_breakdown,,CO,,,,,D,2295.1577,12764.1616,17.9813,8144.5669,28.18,,,,,,,,,,,,,,,,,,
geo_breakdown,,RH,,,,,D,2734.7303,12764.1616,21.4251,9616.0265,28.44,,,,,,,,,,,,,,,,,,
geo_breakdown,,MW,,,,,D,2595.7545,12764.1616,20.3363,9135.2644,28.41,,,,,,,,,,,,,,,,,,
geo_breakdown,,LK,,,,,D,2479.035,12764.1616,19.4218,9227.247,26.87,,,,,,,,,,,,,,,,,,
geo_breakdown,,MRJ,,,,,D,2659.4841,12764.1616,20.8356,9508.037400000001,27.97,,,,,,,,,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,BE,NAT,After_Retail_Six,surplus,ZN,DSA,4.8504,2.02,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,BE,NAT,After_Retail_Six,surplus,JR,PRG,3.6607,1.52,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,CO,LIB,After_Pod_A,surplus,JR,PRG,58.1213,3.62,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,CO,LIB,After_Pod_A,surplus,DH,REF,36.4978,2.27,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,CO,LIB,After_Pod_A,surplus,BE,NAT,23.235,1.45,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,CO,LIB,After_Pod_BD,surplus,DH,REF,37.296,0.49,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,CO,LIB,After_Pod_C,surplus,JR,PRG,372.799,11.01,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,CO,LIB,After_Retail_Six,surplus,JR,PRG,2.6345,1.1,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,CO,LIB,After_Retail_Six,surplus,ZN,DSA,2.1978,0.92,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,CO,LIB,After_Retail_Six,surplus,BE,NAT,1.9373,0.81,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,DH,REF,After_Pod_A,surplus,BE,NAT,92.0606,5.64,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,DH,REF,After_Pod_A,surplus,JR,PRG,49.7826,3.05,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,DH,REF,After_Pod_C,surplus,CO,LIB,183.1072,5.52,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,DH,REF,After_Pod_C,surplus,JR,PRG,118.2927,3.57,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,DH,REF,After_Retail_Six,surplus,BE,NAT,7.8185,2.91,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,DH,REF,After_Retail_Six,surplus,RH,CON,6.9866,2.6,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,DH,REF,After_Retail_Six,surplus,MRJ,STY,6.9765,2.59,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,JR,PRG,After_Pod_A,surplus,BE,NAT,20.6846,1.37,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,JR,PRG,After_Retail_Six,surplus,ZN,DSA,1.3997,0.6,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,LK,CTR,After_Pod_A,surplus,MW,SD,58.2268,3.33,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,LK,CTR,After_Pod_A,surplus,CO,LIB,57.5906,3.29,,,,,,,,,,
