,h2,F1,F2,F3,F4,F5
pew_churatd,0.3629473663974382,-0.032969323884511466,-0.08299500466004164,-0.06029418585974019,0.6884871754822758,0.15069860639032717
CC24_302,0.15238326821575218,0.08376632307338967,0.17195160504290982,0.15423320604039048,0.10215278928968953,-0.10744901020431177
CC24_303,0.25834211137050533,0.1953706640419003,0.14301419553353753,0.20276952844929727,0.2188635320959903,-0.050463099829105795
CC24_341a,0.4336749347267421,0.25951887034835797,0.20201978686581268,-0.14419614118511948,0.23973294055191632,-0.23789753841558647
CC24_341c,0.5517421636867497,-0.016760847652684166,-0.029230897426979728,0.09768121115093314,0.2851794975196626,-0.5341735263267794
CC24_341d,0.29304430714558627,-0.15343389705835145,0.073637598181117,0.03681129429444508,0.2999866700384527,-0.36538909442360196
CC24_323a,0.7089578514374076,0.31876696255797915,-0.03882197728962764,0.26989635812279156,0.03917491852412951,-0.5198410977928184
CC24_323b,0.6095613113462375,0.7053621395817672,-0.11773556810047502,0.008411942434174624,0.0346693501270887,-0.0921392192773497
CC24_323d,0.7180548987368104,0.3129448046490224,0.05573263452412404,0.2252875177330759,0.023690515955633745,-0.5399037299365586
CC24_321b,0.505398321159732,0.12663436836337436,0.10549916149683644,-0.01316562207544174,0.0935653021913059,-0.5568827450770383
CC24_321d,0.6736184043738429,0.7341821250374728,0.010308872008873695,-0.03699427559441047,0.14482334026865765,0.008269364582873133
CC24_321e,0.5945727150861019,0.6530312134263986,-0.1188893963084456,0.04593813450605317,0.16594395231627795,-0.024230768479241254
CC24_325,0.5931489513697253,0.1324758246587484,0.06995069458116968,0.023133976889447,0.6875488450928048,0.02458394669234432
CC24_324b,0.36027907700517636,0.26763429888861695,0.15726912999125287,-0.16876043188762924,0.2968295900134976,-0.0908020568245091
CC24_340b,0.4049216888648227,0.02365338542146469,0.014458221952787372,-0.01771875639721321,0.4885174106045673,-0.19897672477864708
CC24_340c,0.6287603850011788,0.06812211763271112,0.03036181258022284,0.05651732937514263,0.6513567383376533,-0.1411270728515734
CC24_340e,0.3303985432167742,0.4925085618014,0.14227429619493823,-0.31930104694759026,-0.08411752014573014,0.3408626812794211
CC24_340f,0.7375115305649538,0.6635349231579903,0.013242797864570048,0.055797654477520546,0.028064467724151432,-0.2712233630170812
CC24_440b,0.5301488260929978,0.1296076986847246,0.04484694380172745,-0.20802202908455747,0.08000430352459645,-0.6164298797843205
CC24_440c,0.3950019509804589,0.08296798813043628,0.20851260986027728,-0.21938547771653105,0.1548244581307788,-0.4373054386676307
CC24_421_1,0.6277684179722254,-0.09961220526932442,0.7258880117309529,0.12571370431994727,0.03359835792073996,-0.03085902601735399
CC24_421_2,0.8134985313657328,-0.014823701030989551,0.9013721694967004,0.0016310356296901874,-0.00506806454541677,-0.006998772256994642
CC24_423,0.5969278658413685,-0.0024019747718666416,0.23980793081984977,0.6633966537315874,0.011514668870117421,0.02517309702235632
CC24_424,0.46825100226297983,0.014847439916394692,0.38007124691463356,0.47558957680504754,-0.034896969227431685,0.07167514710583368
