diagnostic,phase,candidate_code,candidate_name,raw_votes,vote_pct,status,pod,votes_from_pod,pod_total_votes,pct_of_pod,finalist_national_total,pct_of_finalist_total,straddler_code,straddler_name,platonic_code,platonic_name,platonic_secondary_code,straddler_pct,platonic_pct,platonic_secondary_pct,delta_vs_primary,eliminated_code,eliminated_name,winnowing_point,transfer_type,dest_code,dest_name,transferred_votes,pct_of_eliminated_total,candidate_a,candidate_b,votes_a_beats_b,votes_b_beats_a,winner,margin,margin_pct,lock_order,locked,rp_winner_overall
transfer_analysis,,,,,,,,,,,,,,,,,,,,,,SD_CTR,SD/CTR,After_Pod_A,surplus,SD_STY,SD/STY,4.477,0.41,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,,,,,,,SD_CTR,SD/CTR,After_Pod_A,surplus,STY_SD,STY/SD,4.4012,0.4,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,,,,,,,SD_CTR,SD/CTR,After_Pod_A,surplus,CON_SD,CON/SD,3.5832,0.32,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,,,,,,,SD_CTR,SD/CTR,After_Pod_BD,surplus,SD_CON,SD/CON,594.947,6.46,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,,,,,,,SD_CTR,SD/CTR,After_Pod_BD,surplus,CON_SD,CON/SD,539.4767,5.85,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,,,,,,,SD_CTR,SD/CTR,After_Pod_BD,surplus,STY_REF,STY/REF,186.8388,2.03,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,,,,,,,SD_CTR,SD/CTR,After_Pod_C,surplus,SD_CON,SD/CON,36.7101,1.5,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,,,,,,,SD_CTR,SD/CTR,After_Pod_C,surplus,CON_CTR,CON/CTR,36.6522,1.5,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,,,,,,,SD_CTR,SD/CTR,After_Pod_C,surplus,CON_SD,CON/SD,32.4165,1.32,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,,,,,,,SD_CTR,SD/CTR,After_Retail_Six,surplus,SD_STY,SD/STY,0.2806,0.17,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,,,,,,,SD_CTR,SD/CTR,After_Retail_Six,surplus,CON_SD,CON/SD,0.2283,0.14,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,,,,,,,SD_CTR,SD/CTR,After_Retail_Six,surplus,MW,SD,0.2243,0.14,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,,,,,,,SD_LIB,SD/LIB,After_Retail_Six,elimination,CO,LIB,19.1537,28.1,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,,,,,,,SD_LIB,SD/LIB,After_Retail_Six,elimination,SD_CTR,SD/CTR,16.2133,23.79,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,,,,,,,SD_LIB,SD/LIB,After_Retail_Six,elimination,MW,SD,7.4353,10.91,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,,,,,,,SD_STY,SD/STY,After_Retail_Six,surplus,MW,SD,38.2815,18.57,,,,,,,,,,
