variable,domain,type,stat_label,question,overall,CON,SD,STY,REF,CTR,LIB,CON/CTR,CON/SD,CON/STY,SD/STY,SD/CON,SD/CTR,SD/LIB,STY/REF,STY/SD,STY/CON,REF/STY,CON/REF,CON/NAT,LIB/CTR,REF/SD,CTR/LIB,PRG/DSA,cond_chamber,irv_chamber,cond_pure_chamber,irv_pure_chamber,cond_bloc1,cond_bloc2,cond_bloc3,cond_bloc4,irv_bloc1,irv_bloc2,irv_bloc3,irv_bloc4
CC24_303,Taxes & Economy,ordinal_dist,% Stayed same,Price change past year (1=Increased a lot … 5=Decreased a lot),8.87,3.18,12.34,13.08,4.14,8.19,15.35,5.0683,7.2608,7.338,12.5854,7.9505,10.265,13.845,9.057,12.71,9.0438,7.438,3.4776,2.4891,12.486,7.83,11.77,16.377,8.9,8.8443,9.4873,8.5998,9.057,5.9182,12.7756,12.7162,3.366,7.9088,6.3019,12.5799
CC24_303,Taxes & Economy,ordinal_dist,% Decreased somewhat,Price change past year (1=Increased a lot … 5=Decreased a lot),2.95,1.06,4.75,3.49,1.58,0.89,6.79,0.9959,2.7039,2.0806,4.3322,2.9818,2.82,5.77,2.6305,4.12,2.4993,2.2846,1.2212,0.5896,4.43,3.0065,3.84,6.04,2.9604,2.9153,2.6543,2.4516,2.6305,1.8406,4.0083,5.005,1.1608,2.242,1.937,4.5655
CC24_303,Taxes & Economy,ordinal_dist,% Decreased a lot,Price change past year (1=Increased a lot … 5=Decreased a lot),0.5,0.41,0.22,1.27,1.26,0.5,0.17,0.4439,0.3254,0.7712,0.5682,0.311,0.36,0.195,1.2655,0.745,0.9194,1.2637,0.6735,0.3659,0.302,0.792,0.335,0.268,0.5704,0.5329,0.5622,0.5824,1.2655,0.5447,0.8381,0.2138,0.5747,0.8783,0.379,0.4254
CC24_323a,Immigration,binary,% Supporting,Grant legal status to long-term undocumented immigrants,59.2294,30.2296,82.7113,75.1003,12.3442,59.9703,98.3073,41.4389,53.6102,49.0753,80.1875,57.5621,71.3408,90.5093,46.8601,78.9058,56.8065,35.4949,24.6851,15.5156,82.9725,44.0094,79.1388,99.7939,59.2502,59.4509,63.8892,57.8531,46.8601,42.9407,78.2309,84.6608,26.7643,49.9946,48.2967,81.6989
CC24_323b,Immigration,binary,% Supporting,Increase border patrols,79.5714,99.4845,72.2397,64.8119,89.1047,93.2013,75.3309,97.1164,87.3469,84.922,69.7766,85.2954,82.7205,73.7853,75.7437,68.5258,78.9479,80.1431,96.2668,99.7371,82.4791,81.5154,84.2661,33.9403,81.9357,82.1551,82.087,84.151,75.7437,90.9215,67.8671,72.6261,97.4734,82.3966,91.6981,70.8726
CC24_323d,Immigration,binary,% Supporting,Permanent status/pathway for Dreamers,70.4041,53.0032,98.3844,86.6809,27.6665,72.2816,99.9717,60.2692,73.2205,67.1478,94.5035,76.6377,85.333,99.178,60.1244,92.5326,72.9505,49.4369,45.1488,27.1698,88.8957,59.4896,86.1266,100.0,75.661,75.5981,79.0172,73.6705,60.1244,62.1627,91.4948,98.5828,48.0942,66.9444,67.5058,96.1278
CC24_323f,Immigration,binary,% Supporting,Forgive up to $20k of student loan debt per person,54.1862,25.7075,79.6209,70.5324,30.2371,47.291,82.7126,33.8423,49.7259,44.534,76.6072,53.7856,63.456,81.1668,52.3995,75.0767,52.2573,45.102,27.1117,15.7022,68.544,52.4598,65.0018,94.3143,55.529,55.2995,57.8476,53.3956,52.3995,39.7572,74.2707,80.0074,26.5851,47.1321,42.7073,77.9267
CC24_340f,Immigration,binary,% Supporting,Deny asylum for illegal border crossings,63.1681,99.8093,39.458,39.6282,87.0888,82.0974,29.4301,93.1337,72.9228,74.5332,39.5144,68.3783,60.7777,34.444,60.9855,39.5431,64.164,69.5806,95.8659,99.9027,50.497,65.6549,55.7638,0.0902,64.0503,64.5475,63.6165,68.2896,60.9855,83.0033,39.5582,38.2045,97.3447,70.547,81.9013,39.1781
CC24_321a,Police & Guns,binary,% Supporting,Ban assault rifles,59.5554,40.7492,80.9072,63.1428,27.0589,58.5513,91.4934,47.4588,58.6396,50.1545,75.0165,61.6635,69.7293,86.2003,46.905,72.025,54.0129,40.3703,36.5052,23.9214,78.3166,51.2906,75.0223,95.5394,60.1693,60.6701,62.7062,58.7497,46.905,48.8894,70.4497,82.2305,38.0967,50.256,53.7118,77.7375
CC24_321b,Police & Guns,binary,% Supporting,Easier concealed-carry permits,38.9291,54.9176,20.1692,36.5762,67.8831,44.222,7.2956,50.8864,39.4372,47.2142,25.6098,36.8206,32.1956,13.7324,50.6643,28.3727,44.054,56.334,58.9369,72.977,22.0662,46.4118,25.7588,1.343,38.5097,38.0804,37.5282,40.7923,50.6643,48.4525,29.8276,18.56,57.4297,47.2625,44.5202,22.9999
CC24_321c,Police & Guns,binary,% Supporting,Require background checks on all gun sales,92.5023,93.8034,98.4429,88.7939,80.3952,94.8726,99.5799,94.2064,95.8703,91.6994,95.2433,96.2197,96.6577,99.0114,85.0145,93.6184,90.8363,83.4935,89.6469,85.0053,97.697,88.5167,97.2262,99.6625,93.7643,94.1471,94.3282,93.5121,85.0145,92.956,92.7628,98.585,91.2056,90.4414,95.1292,96.5771
CC24_321d,Police & Guns,binary,% Supporting,Increase police by 10%,56.7169,99.714,31.436,34.9589,44.166,65.1423,35.5848,86.6839,69.2962,72.5169,32.6042,64.1548,48.2892,33.5104,39.1021,33.1975,61.3596,40.7695,82.4941,99.8541,47.4078,38.4375,50.3636,0.3583,57.4199,57.7571,54.339,57.6443,39.1021,76.5106,33.5099,31.9546,88.9516,65.0882,76.9258,32.2598
CC24_321e,Police & Guns,binary,% Supporting,"Decrease police by 10%, increase other funding",26.7993,1.8792,39.5124,39.1405,19.5421,16.6141,35.6377,7.4328,18.6448,17.5289,39.3891,21.4786,28.0633,37.5751,30.3212,39.3265,23.9491,26.7719,7.3547,1.0121,28.0283,28.5287,26.1259,79.063,24.4801,24.5674,25.672,23.1961,30.3212,13.4219,39.2935,39.0281,5.3014,20.731,13.688,39.318
CC24_321f,Police & Guns,binary,% Supporting,Increase spending on mental health & school safety,86.4629,86.5553,95.922,85.8456,66.5524,90.4463,98.4488,88.0218,90.7282,86.2572,92.5807,91.4335,93.1841,97.1854,77.1637,90.8838,86.1349,73.6697,80.3544,70.64,95.2478,79.7687,94.4476,99.4379,88.9112,89.3438,90.1069,88.4382,77.1637,86.487,89.9903,96.2378,82.6797,84.7212,89.5333,94.0154
