coalition,blend,seats,states
CON,CON/SD,6,"GA, ND, NJ, NV, PA, VA"
CON,CON/STY,5,"AL, AR, FL, MO, SD"
CON,CON/REF,4,"CO, ID, KS, MI"
CON,CON/CTR,4,"IA, KY, OH, WV"
CON,CON (pure),2,"OK, TN"
CON,CON/NAT,1,AZ
SD,SD/STY,10,"CA, DC, HI, IN, MA, MD, MN, NE, NY, WI"
SD,SD/LIB,4,"IL, NM, VT, WA"
SD,SD/CON,2,"DE, RI"
SD,SD (pure),2,"MT, OR"
SD,SD/CTR,1,NH
STY,STY/SD,5,"LA, NC, SC, TX, UT"
STY,STY/REF,2,"AK, CT"
STY,STY/CON,1,MS
LIB,LIB/CTR,1,ME
REF,REF (pure),1,WY
