candidate_a,candidate_b,euclidean_dist
CTR,STY/REF,1.6281
CTR,SD/CON,0.8753
CTR,STY/SD,1.4193
CTR,REF/STY,1.6686
CTR,CON/REF,1.2441
CTR,SD/LIB,1.2485
CTR,SD/CTR,0.7512
CTR,CON/NAT,1.4777
CTR,LIB/CTR,0.788
CTR,STY/CON,1.24
DSA,CON,2.5821
DSA,SD,1.0844
DSA,STY,1.3134
DSA,NAT,3.2626
DSA,LIB,1.5167
DSA,REF,2.4845
DSA,CTR,2.3171
DSA,DSA,0.0
DSA,PRG,1.1787
DSA,SD/STY,1.067
DSA,CON/CTR,2.4304
DSA,CON/SD,1.8765
DSA,CON/STY,2.0141
DSA,STY/REF,1.8213
DSA,SD/CON,1.7695
DSA,STY/SD,1.0968
DSA,REF/STY,2.035
DSA,CON/REF,2.4955
DSA,SD/LIB,1.2469
DSA,SD/CTR,1.5979
DSA,CON/NAT,2.8706
DSA,LIB/CTR,1.7646
DSA,STY/CON,1.8199
PRG,CON,2.646
PRG,SD,1.1614
PRG,STY,1.9002
PRG,NAT,3.4751
PRG,LIB,0.8176
PRG,REF,2.8785
PRG,CTR,1.9203
PRG,DSA,1.1787
PRG,PRG,0.0
PRG,SD/STY,1.3699
PRG,CON/CTR,2.3399
PRG,CON/SD,1.945
PRG,CON/STY,2.2455
PRG,STY/REF,2.3033
PRG,SD/CON,1.8388
PRG,STY/SD,1.4941
PRG,REF/STY,2.484
PRG,CON/REF,2.6671
PRG,SD/LIB,0.9182
PRG,SD/CTR,1.3888
PRG,CON/NAT,3.0187
PRG,LIB/CTR,1.2092
PRG,STY/CON,2.1286
SD/STY,CON,1.5272
SD/STY,SD,0.3283
SD/STY,STY,0.6666
SD/STY,NAT,2.3548
SD/STY,LIB,1.1161
SD/STY,REF,1.6856
SD/STY,CTR,1.3654
SD/STY,DSA,1.067
SD/STY,PRG,1.3699
SD/STY,SD/STY,0.0
SD/STY,CON/CTR,1.3739
SD/STY,CON/SD,0.8102
SD/STY,CON/STY,1.0023
SD/STY,STY/REF,1.0552
SD/STY,SD/CON,0.7035
SD/STY,STY/SD,0.1691
SD/STY,REF/STY,1.2525
SD/STY,CON/REF,1.4846
SD/STY,SD/LIB,0.7022
SD/STY,SD/CTR,0.6614
SD/STY,CON/NAT,1.8791
SD/STY,LIB/CTR,1.0388
SD/STY,STY/CON,0.8475
CON/CTR,CON,0.4044
CON/CTR,SD,1.4436
CON/CTR,STY,1.4672
CON/CTR,NAT,1.4837
CON/CTR,LIB,1.7479
CON/CTR,REF,1.361
CON/CTR,CTR,0.66
CON/CTR,DSA,2.4304
CON/CTR,PRG,2.3399
CON/CTR,SD/STY,1.3739
CON/CTR,CON/CTR,0.0
CON/CTR,CON/SD,0.5939
CON/CTR,CON/STY,0.6815
CON/CTR,STY/REF,1.2681
CON/CTR,SD/CON,0.6938
CON/CTR,STY/SD,1.3678
CON/CTR,REF/STY,1.2562
CON/CTR,CON/REF,0.6331
CON/CTR,SD/LIB,1.5451
CON/CTR,SD/CTR,0.9744
CON/CTR,CON/NAT,0.8868
CON/CTR,LIB/CTR,1.2623
CON/CTR,STY/CON,0.8715
CON/SD,CON,0.7431
CON/SD,SD,0.9083
CON/SD,STY,0.9888
CON/SD,NAT,1.7631
CON/SD,LIB,1.4144
CON/SD,REF,1.3228
CON/SD,CTR,0.8542
CON/SD,DSA,1.8765
CON/SD,PRG,1.945
CON/SD,SD/STY,0.8102
CON/SD,CON/CTR,0.5939
CON/SD,CON/SD,0.0
CON/SD,CON/STY,0.443
CON/SD,STY/REF,0.9569
CON/SD,SD/CON,0.1156
CON/SD,STY/SD,0.8086
CON/SD,REF/STY,1.0385
CON/SD,CON/REF,0.7983
CON/SD,SD/LIB,1.1085
CON/SD,SD/CTR,0.5986
CON/SD,CON/NAT,1.1955
CON/SD,LIB/CTR,1.0384
CON/SD,STY/CON,0.5068
CON/STY,CON,0.6223
CON/STY,SD,1.2094
CON/STY,STY,0.8592
CON/STY,NAT,1.4388
CON/STY,LIB,1.7987
CON/STY,REF,0.9675
CON/STY,CTR,1.1371
CON/STY,DSA,2.0141
CON/STY,PRG,2.2455
CON/STY,SD/STY,1.0023
CON/STY,CON/CTR,0.6815
CON/STY,CON/SD,0.443
CON/STY,CON/STY,0.0
CON/STY,STY/REF,0.6464
CON/STY,SD/CON,0.5155
CON/STY,STY/SD,0.9236
CON/STY,REF/STY,0.6908
CON/STY,CON/REF,0.5208
CON/STY,SD/LIB,1.4694
CON/STY,SD/CTR,0.9818
CON/STY,CON/NAT,0.9145
CON/STY,LIB/CTR,1.4299
CON/STY,STY/CON,0.2222
STY/REF,CON,1.1831
STY/REF,SD,1.3504
STY/REF,STY,0.5787
STY/REF,NAT,1.4842
STY/REF,LIB,2.0679
STY/REF,REF,0.7074
STY/REF,CTR,1.6281
STY/REF,DSA,1.8213
STY/REF,PRG,2.3033
STY/REF,SD/STY,1.0552
STY/REF,CON/CTR,1.2681
STY/REF,CON/SD,0.9569
STY/REF,CON/STY,0.6464
STY/REF,STY/REF,0.0
STY/REF,SD/CON,0.9693
STY/REF,STY/SD,0.9121
STY/REF,REF/STY,0.2314
STY/REF,CON/REF,0.9137
STY/REF,SD/LIB,1.6891
STY/REF,SD/CTR,1.3243
STY/REF,CON/NAT,1.1906
STY/REF,LIB/CTR,1.7922
STY/REF,STY/CON,0.5049
SD/CON,CON,0.8587
SD/CON,SD,0.7927
SD/CON,STY,0.9421
SD/CON,NAT,1.8594
SD/CON,LIB,1.3199
SD/CON,REF,1.3831
SD/CON,CTR,0.8753
SD/CON,DSA,1.7695
SD/CON,PRG,1.8388
SD/CON,SD/STY,0.7035
SD/CON,CON/CTR,0.6938
SD/CON,CON/SD,0.1156
SD/CON,CON/STY,0.5155
SD/CON,STY/REF,0.9693
SD/CON,SD/CON,0.0
SD/CON,STY/SD,0.7145
SD/CON,REF/STY,1.0714
SD/CON,CON/REF,0.9031
SD/CON,SD/LIB,1.0009
SD/CON,SD/CTR,0.5118
SD/CON,CON/NAT,1.3018
SD/CON,LIB/CTR,0.9684
SD/CON,STY/CON,0.5339
STY/SD,CON,1.4878
STY/SD,SD,0.4974
STY/SD,STY,0.4975
STY/SD,NAT,2.2585
STY/SD,LIB,1.2713
STY/SD,REF,1.5672
STY/SD,CTR,1.4193
STY/SD,DSA,1.0968
STY/SD,PRG,1.4941
STY/SD,SD/STY,0.1691
STY/SD,CON/CTR,1.3678
STY/SD,CON/SD,0.8086
STY/SD,CON/STY,0.9236
STY/SD,STY/REF,0.9121
STY/SD,SD/CON,0.7145
STY/SD,STY/SD,0.0
STY/SD,REF/STY,1.1195
STY/SD,CON/REF,1.4151
STY/SD,SD/LIB,0.8636
STY/SD,SD/CTR,0.7626
STY/SD,CON/NAT,1.8035
STY/SD,LIB/CTR,1.1668
STY/SD,STY/CON,0.7449
REF/STY,CON,1.1267
REF/STY,SD,1.5313
REF/STY,STY,0.8102
REF/STY,NAT,1.2732
REF/STY,LIB,2.2269
REF/STY,REF,0.4759
REF/STY,CTR,1.6686
REF/STY,DSA,2.035
REF/STY,PRG,2.484
REF/STY,SD/STY,1.2525
REF/STY,CON/CTR,1.2562
REF/STY,CON/SD,1.0385
REF/STY,CON/STY,0.6908
REF/STY,STY/REF,0.2314
REF/STY,SD/CON,1.0714
REF/STY,STY/SD,1.1195
REF/STY,REF/STY,0.0
REF/STY,CON/REF,0.8124
REF/STY,SD/LIB,1.8583
REF/STY,SD/CTR,1.4519
REF/STY,CON/NAT,1.0325
REF/STY,LIB/CTR,1.917
REF/STY,STY/CON,0.6181
CON/REF,CON,0.3586
CON/REF,SD,1.661
CON/REF,STY,1.3195
CON/REF,NAT,0.9935
CON/REF,LIB,2.1813
CON/REF,REF,0.7981
CON/REF,CTR,1.2441
CON/REF,DSA,2.4955
CON/REF,PRG,2.6671
CON/REF,SD/STY,1.4846
CON/REF,CON/CTR,0.6331
CON/REF,CON/SD,0.7983
CON/REF,CON/STY,0.5208
CON/REF,STY/REF,0.9137
CON/REF,SD/CON,0.9031
CON/REF,STY/SD,1.4151
CON/REF,REF/STY,0.8124
CON/REF,CON/REF,0.0
CON/REF,SD/LIB,1.8884
CON/REF,SD/CTR,1.3462
CON/REF,CON/NAT,0.4167
CON/REF,LIB/CTR,1.7493
CON/REF,STY/CON,0.7139
SD/LIB,CON,1.8237
SD/LIB,SD,0.4069
SD/LIB,STY,1.3495
SD/LIB,NAT,2.7975
SD/LIB,LIB,0.4235
SD/LIB,REF,2.2415
SD/LIB,CTR,1.2485
SD/LIB,DSA,1.2469
SD/LIB,PRG,0.9182
SD/LIB,SD/STY,0.7022
SD/LIB,CON/CTR,1.5451
SD/LIB,CON/SD,1.1085
SD/LIB,CON/STY,1.4694
SD/LIB,STY/REF,1.6891
SD/LIB,SD/CON,1.0009
SD/LIB,STY/SD,0.8636
SD/LIB,REF/STY,1.8583
SD/LIB,CON/REF,1.8884
SD/LIB,SD/LIB,0.0
SD/LIB,SD/CTR,0.5821
SD/LIB,CON/NAT,2.2705
SD/LIB,LIB/CTR,0.5631
SD/LIB,STY/CON,1.3893
SD/CTR,CON,1.2711
SD/CTR,SD,0.5667
SD/CTR,STY,1.1562
SD/CTR,NAT,2.2491
SD/CTR,LIB,0.842
SD/CTR,REF,1.7813
SD/CTR,CTR,0.7512
SD/CTR,DSA,1.5979
SD/CTR,PRG,1.3888
SD/CTR,SD/STY,0.6614
SD/CTR,CON/CTR,0.9744
SD/CTR,CON/SD,0.5986
SD/CTR,CON/STY,0.9818
SD/CTR,STY/REF,1.3243
SD/CTR,SD/CON,0.5118
SD/CTR,STY/SD,0.7626
SD/CTR,REF/STY,1.4519
SD/CTR,CON/REF,1.3462
SD/CTR,SD/LIB,0.5821
SD/CTR,SD/CTR,0.0
SD/CTR,CON/NAT,1.7109
SD/CTR,LIB/CTR,0.487
SD/CTR,STY/CON,0.9586
CON/NAT,CON,0.6007
CON/NAT,SD,2.0579
CON/NAT,STY,1.663
CON/NAT,NAT,0.6253
CON/NAT,LIB,2.5426
CON/NAT,REF,0.8246
CON/NAT,CTR,1.4777
CON/NAT,DSA,2.8706
CON/NAT,PRG,3.0187
CON/NAT,SD/STY,1.8791
CON/NAT,CON/CTR,0.8868
CON/NAT,CON/SD,1.1955
CON/NAT,CON/STY,0.9145
CON/NAT,STY/REF,1.1906
CON/NAT,SD/CON,1.3018
CON/NAT,STY/SD,1.8035
CON/NAT,REF/STY,1.0325
CON/NAT,CON/REF,0.4167
CON/NAT,SD/LIB,2.2705
CON/NAT,SD/CTR,1.7109
CON/NAT,CON/NAT,0.0
CON/NAT,LIB/CTR,2.0828
CON/NAT,STY/CON,1.0925
LIB/CTR,CON,1.6185
LIB/CTR,SD,0.8333
LIB/CTR,STY,1.5886
LIB/CTR,NAT,2.6256
LIB/CTR,LIB,0.5253
LIB/CTR,REF,2.2278
LIB/CTR,CTR,0.788
LIB/CTR,DSA,1.7646
LIB/CTR,PRG,1.2092
LIB/CTR,SD/STY,1.0388
LIB/CTR,CON/CTR,1.2623
LIB/CTR,CON/SD,1.0384
LIB/CTR,CON/STY,1.4299
LIB/CTR,STY/REF,1.7922
LIB/CTR,SD/CON,0.9684
LIB/CTR,STY/SD,1.1668
LIB/CTR,REF/STY,1.917
LIB/CTR,CON/REF,1.7493
LIB/CTR,SD/LIB,0.5631
LIB/CTR,SD/CTR,0.487
LIB/CTR,CON/NAT,2.0828
LIB/CTR,LIB/CTR,0.0
LIB/CTR,STY/CON,1.4237
STY/CON,CON,0.8444
STY/CON,SD,1.0949
STY/CON,STY,0.637
STY/CON,NAT,1.5685
STY/CON,LIB,1.7444
STY/CON,REF,0.99
STY/CON,CTR,1.24
STY/CON,DSA,1.8199
STY/CON,PRG,2.1286
STY/CON,SD/STY,0.8475
STY/CON,CON/CTR,0.8715
STY/CON,CON/SD,0.5068
STY/CON,CON/STY,0.2222
STY/CON,STY/REF,0.5049
STY/CON,SD/CON,0.5339
STY/CON,STY/SD,0.7449
STY/CON,REF/STY,0.6181
STY/CON,CON/REF,0.7139
STY/CON,SD/LIB,1.3893
STY/CON,SD/CTR,0.9586
STY/CON,CON/NAT,1.0925
STY/CON,LIB/CTR,1.4237
STY/CON,STY/CON,0.0
