state_fips,state_abbr,senator_code,senator_label,senator_type,primary_cluster,secondary_cluster,total_weighted_respondents,n_candidates_in_race,n_finalists,finalist_CON/CTR_pct,finalist_CON/LIB_pct,finalist_CON/NAT_pct,finalist_CON/REF_pct,finalist_CON/SD_pct,finalist_CON/STY_pct,finalist_CON_pct,finalist_CTR/SD_pct,finalist_CTR_pct,finalist_LIB/CTR_pct,finalist_LIB/PRG_pct,finalist_LIB/SD_pct,finalist_LIB_pct,finalist_NAT_pct,finalist_PRG/LIB_pct,finalist_REF/CTR_pct,finalist_REF/SD_pct,finalist_REF/STY_pct,finalist_REF_pct,finalist_SD/CON_pct,finalist_SD/CTR_pct,finalist_SD/DSA_pct,finalist_SD/LIB_pct,finalist_SD/STY_pct,finalist_SD_pct,finalist_STY/CON_pct,finalist_STY/REF_pct,finalist_STY/SD_pct,finalist_STY_pct
40,OK,CON/CTR,CON/CTR,cooc,0,6.0,606.2,14,5,4.1275,,,,,,6.9474,,,,,,,,,,,,2.6631,,,,1.7592,,0.3447,,,,
41,OR,SD,SD,pure,1,,861.73,15,5,,,,0.6862,,,,,,,,,8.9137,0.4859,,,,,,,,4.1483,,,1.8523,,,,
42,PA,CON/SD,CON/SD,wildcard,0,1.0,2189.53,16,5,,,0.7564,,4.7989,,0.3481,,,,,,,,,,,,,,,,,4.2731,6.2619,,,,
44,RI,SD/CON,SD/CON,cooc,1,0.0,163.32,15,5,,,,,,,,,,,,,,,,,,,,4.7692,,,27.0276,,2.8736,,0.9426,,12.5502
45,SC,STY/SD,STY/SD,cooc,2,1.0,730.29,15,5,1.2367,,1.0138,,,,0.6221,,,,,,,,,,,,,,,5.3212,,,,,,7.7882,
46,SD,CON/STY,CON/STY,wildcard,0,2.0,141.48,15,5,2.8636,,2.279,,,2.1577,,,,,,,,,,,,,,,,,,,22.7882,,0.4177,,
47,TN,CON/STY,CON/STY,cooc,0,2.0,1143.42,12,5,3.1674,,,,,5.7175,6.3795,,,,,,,,,,,,,,,,,,,,0.681,0.284,
48,TX,STY/SD,STY/SD,cooc,2,1.0,3555.07,15,5,7.6595,,,7.6596,,,,,,,,,,,,,,,,,,,0.3012,,,,,0.472,0.4337
49,UT,STY/SD,STY/SD,cooc,2,1.0,462.14,14,5,,,6.4882,,,,,,3.2338,,,,,,,,,,,,,,1.1726,,,,1.8494,2.8407,
50,VT,SD/STY,SD/STY,cooc,1,2.0,107.67,14,5,,,,,,,0.7297,,13.8748,,,,,,0.7226,,,,,,,,4.7572,9.534,,,,,
51,VA,CON/SD,CON/SD,wildcard,0,1.0,1326.72,16,5,0.6236,,,0.6458,9.607,,,,,,,,2.5852,,,,,,,,,,,,,,,,19.5703
53,WA,SD/LIB,SD/LIB,cooc,1,4.0,1221.78,15,5,,,,5.1635,,,0.8824,,,,,,1.1548,,,,,,,,,,5.0541,,4.0026,,,,
54,WV,CON/SD,CON/SD,wildcard,0,1.0,360.26,15,5,2.9074,,,,1.5107,,15.4148,,,,,,,,,18.3754,,,,,,,,,10.959,,,,
55,WI,SD/STY,SD/STY,cooc,1,2.0,969.41,15,5,1.3648,,0.9905,0.3812,,,,,,,,,,,,,,,,,,,,4.8553,8.559,,,,
56,WY,REF,REF,pure,5,,98.3,13,5,,,,1.8982,,,0.2504,,0.1242,,,,,,,,,,3.3749,,,,23.6164,,,,,,
