state_fips,state_abbr,senator_code,senator_label,senator_type,primary_cluster,secondary_cluster,total_weighted_respondents,n_candidates_in_race,n_finalists,finalist_CON_pct,finalist_CTR_pct,finalist_DSA_pct,finalist_LIB_pct,finalist_NAT_pct,finalist_PRG_pct,finalist_REF_pct,finalist_SD_pct,finalist_STY_pct
1,AL,CON,CON,pure,0,,726.21,8,5,3.5133,3.8813,,,,,3.199,2.3035,3.081
2,AK,SD,SD,pure,1,,130.64,8,5,4.812,4.1218,,12.6987,2.4006,,,6.2384,
4,AZ,CTR,CTR,pure,6,,1160.11,9,5,2.5313,3.2594,,,,,2.2974,4.6148,3.5327
5,AR,CTR,CTR,pure,6,,412.18,9,5,3.8958,5.1355,,15.0422,,,6.7849,18.4138,
6,CA,SD,SD,pure,1,,3966.17,9,5,3.1358,2.8069,,3.1569,,,,3.5255,3.9156
8,CO,STY,STY,pure,2,,827.29,9,5,,2.3515,,,16.1661,,3.3203,6.0235,4.9884
9,CT,SD,SD,pure,1,,484.15,9,5,4.4331,3.3383,,,,17.1148,3.2215,4.3994,
10,DE,SD,SD,pure,1,,216.95,9,5,,4.0366,1.0976,,3.5783,1.9369,,3.7127,
11,DC,CTR,CTR,pure,6,,117.36,8,5,,3.2436,,23.401,,2.6517,,2.0536,16.0938
12,FL,CTR,CTR,pure,6,,3184.13,9,5,3.3198,4.7572,,,,,1.2533,4.4752,2.7042
13,GA,STY,STY,pure,2,,1472.39,9,5,3.985,4.0224,,,1.7018,,,3.6174,3.0005
15,HI,CTR,CTR,pure,6,,203.15,9,5,1.6885,7.2196,,13.2204,,,,1.915,7.3208
16,ID,CTR,CTR,pure,6,,325.33,9,5,2.8389,7.5069,,2.1259,,16.339,3.2931,,
17,IL,SD,SD,pure,1,,1460.33,9,5,5.0279,18.2077,,3.5389,,,,3.4032,2.8818
18,IN,CON,CON,pure,0,,994.99,9,5,5.4255,2.758,,,,,1.0428,4.0355,2.9025
19,IA,CTR,CTR,pure,6,,446.79,9,5,4.4504,5.4264,,2.376,3.2904,,16.8949,,
20,KS,SD,SD,pure,1,,372.7,9,5,5.5434,4.269,2.2566,,,,13.5924,6.5987,
21,KY,CON,CON,pure,0,,717.93,9,5,4.7035,3.5419,,,,1.3815,3.8843,2.4589,
22,LA,STY,STY,pure,2,,508.41,9,5,,3.3567,,1.8551,3.461,,3.7077,,3.3028
23,ME,STY,STY,pure,2,,243.16,9,5,2.5336,2.2777,,20.6441,,,3.6522,,2.5808
24,MD,SD,SD,pure,1,,782.14,9,5,,6.1151,2.2517,,,1.341,,3.7728,2.5468
25,MA,SD,SD,pure,1,,790.97,9,5,2.3834,1.8985,,4.0518,,,,4.6718,3.029
26,MI,STY,STY,pure,2,,1329.58,9,5,,,,4.4589,2.4461,,2.1546,3.6493,3.5817
27,MN,CTR,CTR,pure,6,,714.01,9,5,,3.7303,,1.7958,,,5.4087,1.4983,3.5334
28,MS,SD,SD,pure,1,,444.25,8,5,3.1066,5.5019,,,,,3.7365,2.0047,1.1915
29,MO,CTR,CTR,pure,6,,950.73,9,5,2.7964,20.0547,,,1.6525,,,4.164,4.2449
30,MT,SD,SD,pure,1,,257.38,9,5,,15.8234,,4.8067,,,3.3002,6.291,18.6131
31,NE,CTR,CTR,pure,6,,295.91,9,5,1.0589,6.06,,5.0066,,,5.9227,,13.9333
32,NV,STY,STY,pure,2,,707.53,9,5,5.5098,,16.2589,,5.2922,,,2.821,2.8861
33,NH,STY,STY,pure,2,,264.7,9,5,,4.0979,1.9548,,,1.6058,3.3373,,3.782
34,NJ,SD,SD,pure,1,,1162.21,9,5,4.1251,2.375,,2.4411,,,,2.6462,4.6492
