state_fips,state_abbr,senator_code,senator_label,senator_type,primary_cluster,secondary_cluster,total_weighted_respondents,n_candidates_in_race,n_finalists,finalist_CON_pct,finalist_CTR_pct,finalist_DSA_pct,finalist_LIB_pct,finalist_NAT_pct,finalist_PRG_pct,finalist_REF_pct,finalist_SD_pct,finalist_STY_pct
35,NM,SD,SD,pure,1,,415.1,9,5,1.7159,4.9923,,,,,1.0914,4.3917,3.2709
36,NY,STY,STY,pure,2,,2314.44,9,5,3.0215,3.5439,,3.4956,,,,2.585,3.8047
37,NC,CON,CON,pure,0,,1455.35,9,5,3.5597,,,16.9048,,,4.0298,5.004,3.5602
38,ND,REF,REF,pure,5,,112.02,9,5,2.866,15.0045,,,,,5.1739,3.02,3.698
39,OH,CON,CON,pure,0,,1727.15,9,5,3.2194,2.2425,,2.8673,,,4.6252,3.4228,
40,OK,CON,CON,pure,0,,606.2,8,5,6.4536,1.7247,13.5825,,,,6.8515,4.0613,
41,OR,SD,SD,pure,1,,861.73,9,5,5.1736,,,3.1762,,15.8846,,3.539,5.0957
42,PA,SD,SD,pure,1,,2189.53,9,5,3.3123,3.5652,,1.5589,,,,3.8165,4.1854
44,RI,SD,SD,pure,1,,163.32,9,5,4.268,16.2562,,8.1841,,,14.5715,4.8834,
45,SC,STY,STY,pure,2,,730.29,9,5,2.7423,2.1371,,3.0708,,,3.1594,,4.8724
46,SD,CON,CON,pure,0,,141.48,9,5,2.975,5.0211,,,0.5522,,15.6735,6.2842,
47,TN,CTR,CTR,pure,6,,1143.42,9,5,2.4696,6.8615,,,2.2781,,2.0685,2.5517,
48,TX,STY,STY,pure,2,,3555.07,8,5,2.2545,2.3567,,,,,3.7985,4.864,3.2523
49,UT,CTR,CTR,pure,6,,462.14,9,5,2.2904,6.7313,2.4248,,,,1.2332,,2.905
50,VT,CTR,CTR,pure,6,,107.67,9,5,,8.472,,8.4183,,10.8677,,15.9348,3.5209
51,VA,CON,CON,pure,0,,1326.72,9,5,4.3164,,3.1875,3.0996,,,1.945,,3.7414
53,WA,SD,SD,pure,1,,1221.78,9,5,3.708,1.6859,,2.5789,,,,4.4828,3.8018
54,WV,CTR,CTR,pure,6,,360.26,8,5,2.6531,4.2722,,,,,3.9822,2.051,2.3203
55,WI,CON,CON,pure,0,,969.41,9,5,3.8309,1.912,,,,,4.8508,3.4046,2.1527
56,WY,CTR,CTR,pure,6,,98.3,7,5,,6.2344,,0.0926,2.8252,,,14.5585,5.5534
